"専攻コース","科目名","担当教員","受講者数","5","4","3","2","1","0"
"事業設計工学","事業継続戦略特論","松尾 徳朗","18","9","9","0","0","0","0"
"事業設計工学","イノベーティブサービス技術特論","細田 貴明","14","10","2","1","0","1","0"
"事業設計工学","スタートアップ戦略特論","板倉 宏昭","17","5","8","3","0","1","0"
"事業設計工学","技術経営戦略特論","吉田 敏","19","5","11","2","0","0","1"
"事業設計工学","地域経済分析特別演習","三好 祐補","7","5","2","0","0","0","0"
"情報アーキテクチャ","情報ビジネス特別講義3","川名 周","17","8","8","0","0","0","1"
"情報アーキテクチャ","セキュアシステム管理運用特論","真鍋 敬士","16","10","4","1","0","0","1"
"情報アーキテクチャ","情報システム特論1","嶋津 恵子","23","6","12","2","2","1","0"
"情報アーキテクチャ","プロジェクト管理特論3","三好 きよみ","8","6","1","0","0","0","1"
"情報アーキテクチャ","情報セキュリティ特別講義2","奥原 雅之","12","3","7","1","0","0","1"
"情報アーキテクチャ","IoT開発特論","飛田 博章","20","13","6","1","0","0","0"
"情報アーキテクチャ","情報システム特論2","亀井 省吾,戸沢 義夫","16","6","7","3","0","0","0"
"情報アーキテクチャ","ビッグデータ解析特論","追川 修一","42","8","14","3","2","6","9"
"情報アーキテクチャ","コミュニケーション技術特論","中鉢 欣秀","29","10","13","4","0","0","2"
"創造技術","システムモデリング特論","村越 英樹","4","1","2","0","1","0","0"
"創造技術","デジタルデザイン実習","村田 桂太","13","4","7","1","1","0","0"
"創造技術","人間中心デザイン特論","岡崎 浩二","45","23","16","3","0","0","3"
"創造技術","チーム設計・試作特別演習","松井 実","3","0","3","0","0","0","0"
"創造技術","サービス工学特論","橋本 洋志","30","20","6","1","1","1","1"
"創造技術","デザイン表現実習","海老澤 伸樹,和泉 秀明","10","2","7","0","0","0","1"
"創造技術","AIデザイン特論","林 久志","34","12","4","11","2","0","5"
"創造技術","品質工学特論","越水 重臣","23","10","4","4","4","1","0"
"創造技術","国際経営特論","前田 充浩","17","4","12","0","0","0","1"
"創造技術","DESIGN ［RE］ THINKING","松井 実","21","5","8","5","1","2","0"
"共通","情報技術者倫理","稲垣 実","58","49","5","2","0","0","2"
